法人の名称フリガナ,法人の名称,ホームページアドレス,事業の種類
コウエキシャダンホウジンゼンコクシュザンガッコウレンメイ,公益社団法人全国珠算学校連盟,http://shuzan-gakko.com,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンコクシュザンキョウイクレンメイ,公益社団法人 全国珠算教育連盟,https://www.soroban.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンコクジョウバクラブシンコウキョウカイ,公益社団法人全国乗馬倶楽部振興協会,http://www.jouba.jrao.ne.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンコクスポーツスイシンイインレンゴウ,公益社団法人全国スポーツ推進委員連合,http://www.zentaishi.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンニホンアーチェリーレンメイ,公益社団法人全日本アーチェリー連盟,http://www.archery.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンニホンジュウケンドウレンメイ,公益社団法人全日本銃剣道連盟,https://jukendo.info,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンゼンニホンフルコンタクトカラテドウレンメイ,公益社団法人全日本フルコンタクト空手道連盟,http://www.fullcontact-karate.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジントウキョウジョウバクラブ,公益社団法人東京乗馬倶楽部,http://www.tokyo-rc.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジントクシマケンシリツガッコウタイショクキンシャダン,公益社団法人徳島県私立学校退職金社団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジントチギケンサッカーキョウカイ,公益社団法人栃木県サッカー協会,http://www.tfa.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンナゴヤシシリツヨウチエンキョウカイ,公益社団法人名古屋市私立幼稚園協会,http://www.nagoyashiyo.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンナラケンシガクタイショクキンシキンシャダン,公益社団法人奈良県私学退職金資金社団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニイガタケンシガクシンコウカイ,公益社団法人新潟県私学振興会,http://www.disclo-koeki.org,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニッポンパークゴルフキョウカイ,公益社団法人日本パークゴルフ協会,http://www.parkgolf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンイチリンシャキョウカイ,公益社団法人日本一輪車協会,http://jua-web.org/j/index.php,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンウエイトリフティングキョウカイ,公益社団法人日本ウエイトリフティング協会,http://www.j-w-a.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンエアロビックレンメイ,公益社団法人日本エアロビック連盟,http://www.aerobic.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンオリエンテーリングキョウカイ,公益社団法人日本オリエンテーリング協会,https://www.orienteering.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンキャンプキョウカイ,公益社団法人日本キャンプ協会,https://www.camping.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンキンダイゴシュキョウカイ,公益社団法人日本近代五種協会,http://www.pentathlon.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホングラウンドゴルフキョウカイ,公益社団法人日本グラウンド・ゴルフ協会,https://www.groundgolf.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンクレーシャゲキキョウカイ,公益社団法人日本クレー射撃協会,https://clay-shooting.website/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンケンダマキョウカイ,公益社団法人日本けん玉協会,http://www.kendama.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンジョシタイイクレンメイ,公益社団法人日本女子体育連盟,https://www.japew.net,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンスカッシュキョウカイ,公益社団法人日本スカッシュ協会,https://squash.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホントライアスロンレンゴウ,公益社団法人日本トライアスロン連合,http://www.jtu.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンバイアスロンレンメイ,公益社団法人日本バイアスロン連盟,http://biathlon.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンバジュツレンメイ,公益社団法人日本馬術連盟,http://www.equitation-japan.com,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンパワーリフティングキョウカイ,公益社団法人日本パワーリフティング協会,http://www.jpa-powerlifting.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンビリヤードキョウカイ,公益社団法人日本ビリヤード協会,http://www.nba.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンフィットネスキョウカイ,公益社団法人日本フィットネス協会,http://www.jafanet.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンフェンシングキョウカイ,公益社団法人日本フェンシング協会,https://fencing-jpn.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンブジュツタイキョクケンレンメイ,公益社団法人日本武術太極拳連盟,https://www.jwtf.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンブッキョウホイクキョウカイ,公益社団法人日本仏教保育協会,http://www.buppo.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンプロスキーキョウシキョウカイ,公益社団法人日本プロスキー教師協会,https://www.sia-japan.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンプロテニスキョウカイ,公益社団法人日本プロテニス協会,https://www.jpta.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンボクシングレンメイ,公益社団法人日本ボクシング連盟,https://jabf-revival.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンホッケーキョウカイ,公益社団法人日本ホッケー協会,https://www.hockey.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンボディビル・フィットネスレンメイ,公益社団法人日本ボディビル・フィットネス連盟,http://www.jbbf.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンボブスレーリュージュスケルトンレンメイ,公益社団法人日本ボブスレー・リュージュ・スケルトン連盟,http://www.jblsf.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンマズターズリクジョウキョウギレンゴウ,公益社団法人日本マスターズ陸上競技連合,https://japan-masters.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンニホンライフルシャゲキキョウカイ,公益社団法人日本ライフル射撃協会,http://www.riflesports.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヒガシムラヤマシスポーツキョウカイ,公益社団法人東村山市スポーツ協会,http://hm-sports.tokyo,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヒョウゴケンシガクシンコウキョウカイ,公益社団法人兵庫県私学振興協会,http://www.hyogo-sshinko.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンフクイシスポーツキョウカイ,公益社団法人福井市スポーツ協会,http://www.fukuicity-sport.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンフクシマケンシガクシンコウカイ,公益社団法人福島県私学振興会,https://www.disclo-koeki.org/03b/00638/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンフクロイシスポーツキョウカイ,公益社団法人袋井市スポーツ協会,https://fukuroi-sports.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンホッカイドウシガクタイショクキンシャダン,公益社団法人北海道私学退職金社団,http://www.disclo-koeki.org/03b/00633/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンホッカイドウシリツセンシュウガッコウカクシュガッコウレンゴウカイ,公益社団法人北海道私立専修学校各種学校連合会,http://www.hsu.ac/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンマッコウホウキョウカイ,公益社団法人真向法協会,https://www.makkoho.or.jp/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンミヤギケンシガクタイショクキンシャダン,公益社団法人宮城県私学退職金社団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヤマガタケンシガクタイショクキキンシャダン,公益社団法人山形県私学退職基金社団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヤマガタケンシリツガッコウソウレンゴウカイ,公益社団法人山形県私立学校総連合会,http://www.catvy.ne.jp/~y-shigaku-k/index.html,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヤマナシケンシガクキョウイクシンコウカイ,公益社団法人山梨県私学教育振興会,http://yamanashi-shigaku.com/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンヨネザワキョウイクカイ,公益社団法人米沢教育会,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキシャダンホウジンワカヤマケンシリツガッコウキョウショクインタイショクキンシャダン,公益社団法人和歌山県私立学校教職員退職金社団,,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
タマノシスポーツシンコウザイダン,公益財団法人玉野市スポーツ振興財団,http://www2.kct.ne.jp/~reku/,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
ミキヤマヒトトウマトノフレアイノモリキョウカイ,公益財団法人三木山人と馬とのふれあいの森協会,https://www.miki-hlp.or.jp,教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
コウエキザイダンホウジンニホンライフセービングキョウカイ,公益財団法人日本ライフセービング協会,https://jla-lifesaving.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業"
コウエキシャダンホウジンニホンハングパラグライディングレンメイ,公益社団法人日本ハング・パラグライディング連盟,http://jhf.hangpara.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業"
コウエキシャダンホウジンニホンアイガンドウブツキョウカイ,公益社団法人日本愛玩動物協会,http://www.jpc.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
国政の健全な運営の確保に資することを目的とする事業"
コウエキザイダンホウジンゼンコクヤマノヒキョウギカイ,公益財団法人全国山の日協議会,https://www.yamanohi.net/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
コウエキザイダンホウジンタマノシコウエンリョッカキョウカイ,公益財団法人玉野市公園緑化協会,http://www.tamano.or.jp/usr/miyama/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
コウエキシャダンホウジントウキョウトサンガクレンメイ,公益社団法人東京都山岳連盟,http://www.togakuren.com/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
コウエキシャダンホウジンニホンサンガクガイドキョウカイ,公益社団法人日本山岳ガイド協会,https://jfmga.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
事故又は災害の防止を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
コウエキザイダンホウジンオオサカジンケンハクブツカン,公益財団法人大阪人権博物館,http://www.liberty.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業"
コウエキザイダンホウジンナラジンケンブンカザイダン,公益財団法人奈良人権文化財団,http://www1.mahoroba.ne.jp/~suihei,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
人種、性別その他の事由による不当な差別又は偏見の防止及び根絶を目的とする事業"
コウエキザイダンホウジンオオタワラシノウギョウコウシャ,公益財団法人大田原市農業公社,http://www.ohtawara-agri.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国土の利用、整備又は保全を目的とする事業
地域社会の健全な発展を目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業
一般消費者の利益の擁護又は増進を目的とする事業"
コウエキザイダンホウジンオキナワケンチクサンシンコウコウシャ,公益財団法人沖縄県畜産振興公社,https://www.ma-san.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業"
コウエキシャダンホウジンアイチケンチクサンキョウカイ,公益社団法人愛知県畜産協会,http://aichi.lin.gr.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国民生活に不可欠な物資、エネルギー等の安定供給の確保を目的とする事業"
コウエキザイダンホウジンアジアキョウセイキョウイクザイダン,公益財団法人アジア共生教育財団,http://asef.or.jp/index.html,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンギフシコクサイコウリュウキョウカイ,公益財団法人岐阜市国際交流協会,http://www.ccn.aitai.ne.jp/~gk3700cc/index.htm,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンサカイミナトウナバラスイサンショウガクカイ,公益財団法人境港うなばら水産奨学会,,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンフクイケンスポーツキョウカイ,公益財団法人福井県スポーツ協会,https://www.fukui-taikyo.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジンユネスコアジアブンカセンター,公益財団法人ユネスコ・アジア文化センター,http://www.accu.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキシャダンホウジンニホンダンススポーツレンメイ,公益社団法人日本ダンススポーツ連盟,http://www.jdsf.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コクサイブンカコウユウカイ,公益財団法人国際文化交友会,https://www.ifch-jp.org/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業"
コウエキザイダンホウジン　フクイシカンコウキョウカイ,公益財団法人福井市観光協会,https://fuku-iro.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　ヤオシコクサイコウリュウセンター,公益財団法人八尾市国際交流センター,http://www.helloyic.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンウチコチョウコクサイコウリュウキョウカイ,公益財団法人内子町国際交流協会,http://utia.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンエスブイリーグ,公益社団法人ＳＶリーグ,https://www.svleague.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンニホンマレーシアキョウカイ,公益社団法人日本マレーシア協会,http://www.jma-wawasan.com,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
国際相互理解の促進及び開発途上にある海外の地域に対する経済協力を目的とする事業
地球環境の保全又は自然環境の保護及び整備を目的とする事業"
イッパンザイダンホウジンヨッカイチシスポーツキョウカイ,公益財団法人四日市市スポーツ協会,https://www.y-sports.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　イートクシマスイシンザイダン,公益財団法人ｅ－とくしま推進財団,https://www.e-tokushima.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　シナガワクスポーツキョウカイ,公益財団法人品川区スポーツ協会,https://www.ssa.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　ヒラカタシスポーツキョウカイ,公益財団法人　枚方市スポーツ協会,http://www.hirakata-taikyo.org/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジン　マツシマスポーツザイダン,公益財団法人松島スポーツ財団,https://matsushima-sports.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンイナギグリーンウェルネスザイダン,公益財団法人いなぎグリーンウェルネス財団,http://greenwellness.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンオダワラシタイイクキョウカイ,公益財団法人小田原市体育協会,http://www.odawara-taikyo.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンオホーツクセイカツブンカシンコウザイダン,公益財団法人オホーツク生活文化振興財団,http://www.giza-ryuhyo.com,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンキョウトシショウガイガクシュウシンコウザイダン,公益財団法人京都市生涯学習振興財団,https://asny.ne.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンキョウトフリツタンバシゼンウンドウコウエンキョウリョクカイ,公益財団法人京都府立丹波自然運動公園協力会,http://www.kyoto-tanbapark.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンクミヤマチョウブンカスポーツジギョウダン,公益財団法人久御山町文化スポーツ事業団,http://kumiyama-bunka-sports.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンサクライシタイイクキョウカイ,公益財団法人桜井市体育協会,http://www.net-taikyo.com/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンショウガイガクシュウカメオカザイダン,公益財団法人生涯学習かめおか財団,https://www.galleria.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンセタガヤクスポーツシンコウザイダン,公益財団法人世田谷区スポーツ振興財団,https://www.se-sports.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンチバシスポーツキョウカイ,公益財団法人千葉市スポーツ協会,,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンツール・ド・ホッカイドウキョウカイ,公益財団法人ツール・ド・北海道協会,https://www.tour-de-hokkaido.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンナガサキギンコウショウガクイクセイキキン,公益財団法人長崎銀行奨学育成基金,http://www.nagasakibank.co.jp/annai/profile/index_04.html,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンニホンアニマルトラスト,公益財団法人日本アニマルトラスト,http://www.happyhouse.or.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンヒロシマスポーツブンカザイダン,公益財団法人広島スポーツ文化財団,http://www.carp.co.jp/sportsbunkazaidan/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンムライシスポーツシンコウザイダン,公益財団法人村石スポーツ振興財団,https://muraishi-sports.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキザイダンホウジンヤオタイイクシンコウカイ,公益財団法人八尾体育振興会,http://yao-taisin.com,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジン　キョウトセイネンカイギショ,公益社団法人京都青年会議所,http://www.kyoto-jc.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンコダマセイネンカイギショ,公益社団法人こだま青年会議所,http://www.kodamajc.com,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンジャパンプロフェッショナルバスケットボールリーグ,公益社団法人ジャパン・プロフェッショナル・バスケットボールリーグ,https://www.bleague.jp,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンスポーツケンコウサンギョウダンタイレンゴウカイ,公益社団法人スポーツ健康産業団体連合会,http://www.jsif.or.jp/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
コウエキシャダンホウジンホッカイドウスカイスポーツキョウカイ,公益社団法人北海道スカイスポーツ協会,http://www11.ocn.ne.jp/~hospa/,"教育、スポーツ等を通じて国民の心身の健全な発達に寄与し、又は豊かな人間性を涵養することを目的とする事業
地域社会の健全な発展を目的とする事業"
